,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2506,Central African Republic,2/3/20,0,0,0,0,0,0
2507,Central African Republic,2/4/20,0,0,0,0,0,0
2508,Central African Republic,2/5/20,0,0,0,0,0,0
2509,Central African Republic,2/6/20,0,0,0,0,0,0
2510,Central African Republic,2/7/20,0,0,0,0,0,0
2511,Central African Republic,2/8/20,0,0,0,0,0,0
2512,Central African Republic,2/9/20,0,0,0,0,0,0
2513,Central African Republic,2/10/20,0,0,0,0,0,0
2514,Central African Republic,2/11/20,0,0,0,0,0,0
2515,Central African Republic,2/12/20,0,0,0,0,0,0
2516,Central African Republic,2/13/20,0,0,0,0,0,0
2517,Central African Republic,2/14/20,0,0,0,0,0,0
2518,Central African Republic,2/15/20,0,0,0,0,0,0
2519,Central African Republic,2/16/20,0,0,0,0,0,0
2520,Central African Republic,2/17/20,0,0,0,0,0,0
2521,Central African Republic,2/18/20,0,0,0,0,0,0
2522,Central African Republic,2/19/20,0,0,0,0,0,0
2523,Central African Republic,2/20/20,0,0,0,0,0,0
2524,Central African Republic,2/21/20,0,0,0,0,0,0
2525,Central African Republic,2/22/20,0,0,0,0,0,0
2526,Central African Republic,2/23/20,0,0,0,0,0,0
2527,Central African Republic,2/24/20,0,0,0,0,0,0
2528,Central African Republic,2/25/20,0,0,0,0,0,0
2529,Central African Republic,2/26/20,0,0,0,0,0,0
2530,Central African Republic,2/27/20,0,0,0,0,0,0
2531,Central African Republic,2/28/20,0,0,0,0,0,0
2532,Central African Republic,2/29/20,0,0,0,0,0,0
2533,Central African Republic,3/1/20,0,0,0,0,0,0
2534,Central African Republic,3/2/20,0,0,0,0,0,0
2535,Central African Republic,3/3/20,0,0,0,0,0,0
2536,Central African Republic,3/4/20,0,0,0,0,0,0
2537,Central African Republic,3/5/20,0,0,0,0,0,0
2538,Central African Republic,3/6/20,0,0,0,0,0,0
2539,Central African Republic,3/7/20,0,0,0,0,0,0
2540,Central African Republic,3/8/20,0,0,0,0,0,0
2541,Central African Republic,3/9/20,0,0,0,0,0,0
2542,Central African Republic,3/10/20,0,0,0,0,0,0
2543,Central African Republic,3/11/20,0,0,0,0,0,0
2544,Central African Republic,3/12/20,0,0,0,0,0,0
2545,Central African Republic,3/13/20,0,0,0,0,0,0
2546,Central African Republic,3/14/20,0,0,0,0,0,0
2547,Central African Republic,3/15/20,1,0,0,0,0,0
2548,Central African Republic,3/16/20,1,0,0,1,0,0
2549,Central African Republic,3/17/20,1,0,0,1,0,0
2550,Central African Republic,3/18/20,1,0,0,1,0,0
2551,Central African Republic,3/19/20,1,0,0,1,0,0
2552,Central African Republic,3/20/20,3,0,0,1,0,0
2553,Central African Republic,3/21/20,3,0,0,3,0,0
2554,Central African Republic,3/22/20,3,0,0,3,0,0
2555,Central African Republic,3/23/20,3,0,0,3,0,0
